Model,Defense Type,Blacklist Size,Original Top-10 Success Rate,New Top-10 Success Rate,Absolute Reduction,Relative Reduction
uniform,Weak PIN Blacklisting,10,0.0003874999999999998,0.00037514536883042195,1.2354631169577877e-05,0.03188291914729776
uniform,Weak PIN Blacklisting,50,0.0003874999999999998,0.00037570915102255525,1.1790848977444573e-05,0.030427997361147298
uniform,Weak PIN Blacklisting,100,0.0003874999999999998,0.00025089695661991617,0.00013660304338008366,0.35252398291634507
uniform,Weak PIN Blacklisting,500,0.0003874999999999998,0.0002534404541652938,0.000134059545834706,0.3459601182831124
biased,Weak PIN Blacklisting,10,0.19725,0.14579570227343505,0.05145429772656496,0.2608582901220023
biased,Weak PIN Blacklisting,50,0.19725,0.016293065486799888,0.1809569345132001,0.9173989075447406
biased,Weak PIN Blacklisting,100,0.19725,0.01527064491205745,0.18197935508794255,0.9225822818146644
biased,Weak PIN Blacklisting,500,0.19725,0.0009983028850953381,0.19625169711490467,0.9949388953860819
leakage,Weak PIN Blacklisting,10,0.13706249999999998,0.09440139059897154,0.042661109401028435,0.3112529641661902
leakage,Weak PIN Blacklisting,50,0.13706249999999998,0.01769125561732891,0.11937124438267106,0.8709256316109153
leakage,Weak PIN Blacklisting,100,0.13706249999999998,0.017063853716235866,0.11999864628376411,0.875503119261389
leakage,Weak PIN Blacklisting,500,0.13706249999999998,0.0015815634884771808,0.1354809365115228,0.9884610051000297
